,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,detoxis21_aggressiveness,0,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
1,detoxis21_aggressiveness,1,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
2,detoxis21_aggressiveness,2,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
3,detoxis21_aggressiveness,3,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['exist21', 'haha21', 'metwo22']",3,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
4,detoxis21_aggressiveness,4,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['davincis22', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
5,detoxis21_aggressiveness,5,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['davincis22', 'exist21', 'haha21', 'meoffendes21']",5,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
6,detoxis21_aggressiveness,6,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
7,detoxis21_aggressiveness,7,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
8,detoxis21_aggressiveness,8,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
9,detoxis21_aggressiveness,9,"(2770, 2)","(693, 2)",0.4904411764705882,0.5,"['davincis22', 'exist21', 'meoffendes21']",9,"(2770, 2)",0.4918361208137977,0.0003488946415493008,0.49127640036730946,0.4922089825847846,"[0.4922089825847846, 0.4922089825847846, 0.491743119266055, 0.49127640036730946, 0.491743119266055]"
